feature,mean_difference
chol,86.08260869565217
thalch,22.415217391304353
age,4.708695652173915
trestbps,1.7652173913043612
dataset_va long beach,0.43478260869565216
ca,0.4195652173913043
thal_normal,0.32173913043478264
dataset_switzerland,0.2673913043478261
sex_male,0.26521739130434785
restecg_st-t abnormality,0.24565217391304348
exang_True,0.24565217391304348
slope_upsloping,0.21956521739130433
cp_atypical angina,0.21304347826086958
oldpeak,0.1934782608695652
thal_reversable defect,0.09565217391304351
slope_flat,0.08478260869565213
fbs_True,0.08260869565217392
cp_non-anginal,0.07826086956521738
dataset_hungary,0.04130434782608694
cp_typical angina,0.021739130434782608
restecg_normal,0.006521739130434745
